customer_id,user_age,household_size,income_bracket,tenure_months,subscription_tier,billing_cycle,auto_renew_enabled,customer_acquisition_channel,primary_device,days_since_last_login,avg_watch_time_hours,content_completion_rate,payment_failures,support_tickets,support_resolution_time_days
USER_0108002,28,3,Medium,9,Premium,Monthly,Yes,Social_Ads,Web,12,38.5,1.0,0,0,0
USER_0048488,54,1,Low,48,Premium,Annual,Yes,Social_Ads,Mobile,11,2.7,0.61,0,1,0
USER_0100983,20,5,Medium,4,Standard,Monthly,Yes,Referral,Mobile,4,57.3,0.58,1,0,0
USER_0078850,39,1,Low,17,Basic,Annual,Yes,Organic,Mobile,8,40.4,0.49,0,0,0
USER_0109169,68,2,Medium,1,Standard,Monthly,No,Organic,Console,36,42.4,0.2,0,2,0
USER_0000394,28,1,Low,71,Basic,Monthly,No,Social_Ads,Mobile,9,18.1,0.92,0,0,0
USER_0122429,38,2,Low,4,Premium,Monthly,No,Organic,Mobile,20,64.9,0.98,0,0,0
USER_0112470,43,6,High,1,Basic,Monthly,No,Promo_Code,Smart TV,0,116.4,0.68,0,2,0
USER_0089197,45,2,Medium,79,Standard,Monthly,Yes,Organic,Mobile,15,55.3,0.87,0,0,0
USER_0058142,46,2,Medium,63,Standard,Annual,Yes,Social_Ads,Mobile,2,38.4,0.61,0,1,0
USER_0128035,37,4,Medium,10,Standard,Annual,Yes,Referral,Console,3,29.6,0.64,0,0,0
USER_0153424,40,3,Low,4,Premium,Monthly,No,Promo_Code,Console,1,25.2,0.46,0,0,0
USER_0111987,41,5,Medium,8,Basic,Monthly,Yes,Promo_Code,Mobile,0,78.3,0.74,0,1,0
USER_0099477,33,2,Medium,15,Standard,Monthly,Yes,Organic,Mobile,6,27.5,0.4,0,0,0
USER_0118942,18,1,Medium,1,Standard,Annual,Yes,Promo_Code,Smart TV,13,56.3,0.59,0,1,0
USER_0144940,33,1,Low,8,Premium,Monthly,Yes,Organic,Mobile,1,15.3,0.42,0,0,0
USER_0047169,33,2,Low,77,Standard,Monthly,Yes,Organic,Console,10,50.3,0.71,1,0,0
USER_0117639,27,4,High,1,Standard,Monthly,Yes,Organic,Smart TV,4,45.2,0.72,0,2,0
USER_0120243,53,6,High,3,Basic,Monthly,No,Organic,Smart TV,2,87.6,0.95,1,0,0
USER_0097040,34,4,Medium,36,Premium,Monthly,Yes,Social_Ads,Mobile,22,76.8,0.57,0,1,0
USER_0115267,38,3,Low,4,Basic,Monthly,Yes,Organic,Smart TV,8,67.5,0.51,0,1,0
USER_0069663,22,1,Low,83,Basic,Monthly,Yes,Social_Ads,Mobile,0,38.7,0.4,1,0,0
USER_0020767,27,2,Medium,47,Premium,Monthly,Yes,Social_Ads,Mobile,7,43.5,0.84,0,0,0
USER_0070647,28,1,Medium,37,Premium,Monthly,Yes,Promo_Code,Mobile,14,40.2,0.61,0,0,0
USER_0004421,38,2,High,28,Basic,Monthly,No,Promo_Code,Mobile,0,65.1,0.83,0,0,0
USER_0020792,34,1,Low,40,Premium,Monthly,Yes,Promo_Code,Smart TV,2,60.8,0.87,0,0,0
USER_0075995,48,2,High,26,Standard,Monthly,Yes,Organic,Smart TV,0,61.4,0.7,0,0,0
USER_0071680,58,4,High,61,Basic,Annual,Yes,Organic,Smart TV,0,95.9,0.62,0,0,0
USER_0138532,30,5,High,9,Basic,Annual,Yes,Promo_Code,Mobile,12,67.9,0.4,0,0,0
USER_0108967,56,2,Medium,8,Standard,Monthly,Yes,Organic,Smart TV,5,67.1,0.81,0,0,0
USER_0118072,45,2,Medium,8,Basic,Monthly,Yes,Social_Ads,Web,10,65.4,0.42,1,0,0
USER_0144444,24,3,Medium,5,Standard,Annual,Yes,Organic,Smart TV,6,57.0,0.61,0,0,0
USER_0040447,18,1,High,46,Standard,Monthly,Yes,Social_Ads,Smart TV,0,64.9,0.72,0,0,0
USER_0078884,24,6,High,76,Basic,Monthly,Yes,Promo_Code,Mobile,7,62.0,0.85,0,0,0
USER_0108554,40,4,Medium,2,Basic,Annual,Yes,Organic,Smart TV,5,96.2,0.72,0,1,0
USER_0089678,53,1,High,30,Basic,Monthly,No,Promo_Code,Mobile,0,20.1,0.38,0,0,0
USER_0125019,24,3,Medium,5,Basic,Monthly,Yes,Social_Ads,Mobile,6,44.3,0.99,0,0,0
USER_0069188,38,2,High,44,Basic,Monthly,Yes,Referral,Smart TV,7,73.4,0.49,0,0,0
USER_0115618,43,3,High,6,Standard,Monthly,No,Referral,Mobile,3,64.3,0.44,0,0,0
USER_0114440,43,3,Medium,3,Basic,Monthly,Yes,Promo_Code,Mobile,0,59.4,0.47,0,0,0
USER_0040971,18,2,Low,77,Basic,Monthly,Yes,Organic,Smart TV,0,59.1,0.48,1,0,0
USER_0110708,18,4,Low,4,Basic,Monthly,Yes,Social_Ads,Mobile,0,58.7,0.64,0,0,0
USER_0117831,35,2,Low,3,Premium,Monthly,No,Organic,Smart TV,7,59.7,0.7,0,0,0
USER_0100827,28,1,Low,6,Standard,Monthly,Yes,Organic,Mobile,2,17.2,0.37,0,0,0
USER_0129292,35,2,Low,8,Standard,Monthly,Yes,Organic,Mobile,16,27.7,0.57,0,0,0
USER_0052830,38,2,Medium,54,Premium,Monthly,Yes,Social_Ads,Mobile,7,31.8,0.49,0,1,0
USER_0023879,26,2,Low,57,Basic,Monthly,Yes,Social_Ads,Web,9,47.2,0.63,0,0,0
USER_0154278,44,2,Medium,1,Standard,Monthly,Yes,Referral,Mobile,18,51.8,0.3,0,1,0
USER_0123813,33,3,Medium,11,Basic,Monthly,Yes,Promo_Code,Smart TV,2,76.3,0.62,0,0,0
USER_0078093,18,4,Low,79,Basic,Monthly,Yes,Promo_Code,Smart TV,7,40.1,0.58,0,0,0
USER_0153998,33,1,Low,4,Standard,Monthly,Yes,Social_Ads,Smart TV,1,41.9,0.81,0,0,0
USER_0111024,44,4,Medium,8,Premium,Monthly,Yes,Social_Ads,Smart TV,7,94.0,0.93,0,0,0
USER_0090174,54,2,Medium,28,Basic,Monthly,Yes,Organic,Smart TV,14,36.2,0.34,0,0,0
USER_0103909,49,5,Medium,1,Standard,Monthly,Yes,Organic,Mobile,8,69.2,0.39,0,0,0
USER_0131822,18,1,Low,10,Basic,Monthly,Yes,Social_Ads,Mobile,13,23.2,0.76,0,0,0
USER_0071997,47,2,Medium,73,Standard,Annual,Yes,Organic,Mobile,0,52.7,0.44,0,0,0
USER_0027624,35,3,Low,80,Basic,Monthly,Yes,Social_Ads,Smart TV,0,84.4,0.66,0,0,0
USER_0003081,32,6,Medium,26,Basic,Monthly,Yes,Organic,Web,9,54.0,0.89,0,0,0
USER_0109605,30,6,High,7,Basic,Monthly,Yes,Organic,Smart TV,1,114.8,0.85,0,0,0
USER_0051029,25,6,Medium,13,Premium,Monthly,No,Social_Ads,Mobile,14,77.9,0.81,0,0,0
USER_0121090,31,3,Low,6,Standard,Monthly,No,Organic,Mobile,1,24.3,0.79,0,0,0
USER_0110930,48,1,Medium,9,Premium,Monthly,Yes,Organic,Console,0,41.0,0.43,0,0,0
USER_0086154,36,3,Low,20,Basic,Monthly,Yes,Promo_Code,Mobile,6,35.8,0.74,0,0,0
USER_0125110,27,2,Medium,10,Standard,Annual,Yes,Promo_Code,Smart TV,4,67.0,0.47,0,0,0
USER_0061074,32,2,Low,33,Premium,Monthly,Yes,Referral,Web,6,35.3,0.59,0,0,0
USER_0087101,27,3,Medium,44,Basic,Annual,Yes,Organic,Web,1,55.0,0.27,0,0,0
USER_0046560,27,1,Medium,44,Basic,Monthly,Yes,Organic,Smart TV,15,63.9,0.72,0,0,0
USER_0156604,39,3,High,7,Premium,Annual,Yes,Organic,Smart TV,20,51.9,0.87,0,2,0
USER_0147701,32,1,Low,2,Basic,Monthly,Yes,Organic,Mobile,0,13.2,0.97,0,2,0
USER_0142861,36,3,High,7,Premium,Monthly,Yes,Promo_Code,Web,4,72.1,0.77,1,0,0
USER_0051500,42,3,Low,82,Premium,Monthly,Yes,Social_Ads,Smart TV,2,41.0,0.92,0,0,0
USER_0089335,33,6,High,53,Basic,Monthly,No,Organic,Web,15,97.2,0.73,0,0,0
USER_0102767,19,3,Medium,8,Premium,Monthly,Yes,Promo_Code,Mobile,12,45.0,0.66,0,0,0
USER_0106114,56,1,Low,3,Premium,Monthly,Yes,Organic,Smart TV,1,48.5,0.55,1,0,0
USER_0058583,37,3,Medium,46,Premium,Monthly,Yes,Organic,Console,0,29.3,0.73,0,0,0
USER_0109116,32,2,Medium,11,Standard,Monthly,No,Social_Ads,Mobile,3,57.9,0.43,0,0,0
USER_0088448,41,1,High,14,Basic,Monthly,Yes,Social_Ads,Smart TV,2,69.5,0.18,0,1,0
USER_0064685,43,2,Medium,74,Basic,Monthly,Yes,Social_Ads,Smart TV,0,94.1,0.97,0,1,0
USER_0042658,34,6,Medium,58,Standard,Monthly,Yes,Promo_Code,Mobile,7,63.1,0.66,0,0,0
USER_0000696,53,1,Medium,57,Basic,Monthly,No,Promo_Code,Smart TV,6,47.7,0.62,1,0,0
USER_0102511,21,4,High,3,Premium,Monthly,Yes,Social_Ads,Smart TV,0,89.9,0.78,0,0,0
USER_0148624,20,3,Low,2,Standard,Monthly,No,Social_Ads,Mobile,1,73.7,0.5,0,0,0
USER_0026676,50,2,Low,83,Basic,Monthly,Yes,Organic,Mobile,1,45.1,0.86,0,0,0
USER_0117465,40,3,High,6,Standard,Annual,No,Organic,Mobile,2,59.8,0.54,0,0,0
USER_0145758,39,3,High,6,Basic,Monthly,No,Organic,Smart TV,5,63.7,0.72,1,1,0
USER_0003850,37,4,Medium,70,Basic,Monthly,Yes,Promo_Code,Smart TV,47,102.2,0.57,0,0,0
USER_0017560,27,3,Medium,54,Standard,Monthly,No,Organic,Web,5,64.8,0.71,2,0,0
USER_0017179,30,2,Medium,66,Standard,Annual,Yes,Social_Ads,Web,6,39.9,0.79,0,1,0
USER_0019192,18,2,Medium,66,Premium,Monthly,Yes,Organic,Web,7,33.8,0.58,0,0,0
USER_0115831,18,4,Low,6,Standard,Monthly,No,Organic,Web,2,37.9,0.47,1,0,0
USER_0061581,23,4,Low,61,Standard,Monthly,No,Social_Ads,Smart TV,15,72.4,0.15,0,0,0
USER_0003039,34,2,Medium,34,Basic,Annual,Yes,Social_Ads,Smart TV,3,58.8,0.63,0,0,0
USER_0053136,43,2,Medium,79,Basic,Monthly,Yes,Social_Ads,Smart TV,15,49.0,0.35,0,0,0
USER_0011464,35,1,High,55,Basic,Monthly,Yes,Organic,Mobile,1,20.1,0.7,0,1,0
USER_0114422,31,3,Low,5,Premium,Monthly,Yes,Organic,Console,13,64.3,0.44,0,0,0
USER_0106147,36,3,High,3,Basic,Monthly,Yes,Organic,Smart TV,0,37.4,0.66,0,0,0
USER_0152478,54,4,Low,9,Basic,Monthly,No,Promo_Code,Mobile,6,53.7,0.84,0,0,0
USER_0085155,18,4,High,74,Standard,Annual,Yes,Social_Ads,Mobile,0,73.0,0.57,0,0,0
USER_0117893,43,2,Medium,4,Standard,Monthly,No,Organic,Smart TV,22,70.6,0.7,1,0,0
USER_0018040,18,4,Medium,82,Basic,Monthly,No,Organic,Mobile,29,48.0,0.22,0,0,0
USER_0020687,28,6,Medium,33,Standard,Monthly,No,Social_Ads,Mobile,12,100.5,0.8,0,0,0
USER_0095397,24,2,High,61,Basic,Monthly,Yes,Organic,Console,9,32.1,0.66,0,0,0
USER_0048628,34,6,Medium,45,Basic,Annual,Yes,Promo_Code,Smart TV,2,118.5,0.3,0,0,0
USER_0005102,41,2,Medium,82,Standard,Monthly,Yes,Promo_Code,Mobile,6,34.6,0.38,0,1,0
USER_0136372,23,1,Medium,7,Basic,Annual,Yes,Social_Ads,Smart TV,16,33.8,0.49,1,0,0
USER_0039902,44,6,Medium,38,Premium,Monthly,Yes,Promo_Code,Smart TV,7,98.6,0.53,0,1,0
USER_0083021,56,2,High,22,Basic,Annual,Yes,Organic,Mobile,0,28.8,0.74,0,0,0
USER_0110726,53,1,Low,3,Standard,Monthly,Yes,Referral,Console,4,22.4,0.0,0,0,0
USER_0023286,23,5,Medium,20,Standard,Monthly,Yes,Social_Ads,Smart TV,23,107.8,0.43,0,0,0
USER_0019839,43,3,High,23,Basic,Monthly,Yes,Organic,Smart TV,11,52.1,0.82,0,0,0
USER_0132050,23,1,Medium,10,Standard,Monthly,Yes,Social_Ads,Smart TV,0,28.5,0.74,0,0,0
USER_0138248,22,2,Low,3,Standard,Annual,Yes,Promo_Code,Mobile,5,43.9,0.95,0,0,0
USER_0011207,64,1,High,50,Premium,Monthly,No,Social_Ads,Mobile,3,18.0,0.54,0,0,0
USER_0087968,32,3,Medium,43,Standard,Monthly,Yes,Promo_Code,Web,8,34.0,0.15,0,0,0
USER_0044109,32,2,Low,46,Basic,Annual,Yes,Referral,Mobile,22,54.8,0.62,1,0,0
USER_0121528,44,3,Medium,1,Basic,Monthly,Yes,Promo_Code,Smart TV,7,74.8,0.77,0,1,0
USER_0053368,41,2,Medium,70,Standard,Monthly,Yes,Social_Ads,Web,5,51.9,0.55,0,1,0
USER_0139996,35,3,Medium,3,Basic,Monthly,Yes,Social_Ads,Console,12,74.8,0.65,0,0,0
USER_0100825,38,1,High,11,Premium,Monthly,Yes,Social_Ads,Smart TV,1,19.1,0.86,0,0,0
USER_0131522,50,2,Medium,1,Standard,Monthly,No,Promo_Code,Web,2,64.0,0.77,0,1,0
USER_0035935,39,2,Low,38,Premium,Annual,Yes,Social_Ads,Web,9,46.8,0.75,0,1,0
USER_0155274,60,1,Low,7,Basic,Monthly,Yes,Social_Ads,Mobile,5,43.8,0.7,0,0,0
USER_0094238,35,3,Low,80,Basic,Monthly,Yes,Social_Ads,Smart TV,8,65.7,0.41,0,0,0
USER_0064403,23,4,Medium,37,Standard,Annual,Yes,Organic,Smart TV,3,117.8,0.75,0,1,0
USER_0040406,49,3,Low,14,Basic,Monthly,Yes,Social_Ads,Smart TV,0,32.5,0.64,0,1,0
USER_0146966,31,1,Low,9,Premium,Monthly,Yes,Promo_Code,Smart TV,14,36.4,0.45,0,0,0
USER_0126494,23,3,Low,1,Basic,Monthly,Yes,Promo_Code,Smart TV,3,76.9,0.47,0,1,0
USER_0069365,18,1,Medium,31,Standard,Monthly,Yes,Organic,Web,9,37.5,0.6,0,0,0
USER_0063259,61,6,Low,27,Premium,Annual,Yes,Promo_Code,Mobile,13,77.8,0.68,0,2,0
USER_0071617,31,2,Medium,63,Standard,Monthly,Yes,Social_Ads,Smart TV,15,45.9,0.93,1,0,0
USER_0108007,39,1,High,6,Standard,Monthly,Yes,Promo_Code,Smart TV,10,57.2,0.56,0,0,0
USER_0119343,32,2,Low,6,Standard,Monthly,Yes,Social_Ads,Smart TV,1,52.7,0.42,0,0,0
USER_0066920,33,2,Medium,36,Basic,Annual,Yes,Social_Ads,Smart TV,8,46.9,0.63,0,0,0
USER_0017027,45,2,Low,40,Standard,Monthly,Yes,Referral,Smart TV,9,23.5,0.73,0,0,0
USER_0061815,18,1,Low,64,Standard,Monthly,No,Referral,Mobile,7,42.4,0.75,0,0,0
USER_0112143,54,1,Medium,4,Standard,Annual,Yes,Organic,Web,7,44.4,0.55,1,0,0
USER_0115300,31,1,Low,1,Premium,Monthly,Yes,Organic,Mobile,4,52.8,0.66,0,2,0
USER_0133364,18,3,Medium,8,Basic,Monthly,Yes,Social_Ads,Smart TV,3,42.1,0.58,0,0,0
USER_0033858,44,1,Medium,20,Basic,Annual,Yes,Referral,Web,9,28.6,0.73,0,0,0
USER_0121010,24,1,Medium,1,Standard,Monthly,Yes,Referral,Smart TV,2,47.5,0.56,0,2,0
USER_0154234,35,3,Low,5,Basic,Annual,Yes,Social_Ads,Console,5,50.1,0.86,0,0,0
USER_0089219,37,2,Medium,44,Basic,Monthly,Yes,Organic,Smart TV,0,51.5,0.95,0,1,0
USER_0139801,48,3,High,9,Standard,Monthly,Yes,Organic,Smart TV,1,114.9,0.66,0,0,0
USER_0147416,19,4,Medium,2,Basic,Monthly,Yes,Promo_Code,Smart TV,0,78.4,0.84,0,3,0
USER_0079165,39,3,Low,70,Basic,Monthly,Yes,Organic,Smart TV,12,69.8,0.75,0,0,0
USER_0058420,37,3,Medium,61,Standard,Monthly,Yes,Social_Ads,Smart TV,8,55.1,0.6,0,2,0
USER_0135175,28,2,Low,8,Standard,Monthly,Yes,Social_Ads,Console,1,29.4,0.54,0,0,0
USER_0037399,21,2,Low,54,Standard,Monthly,Yes,Promo_Code,Web,0,40.8,0.8,0,0,0
USER_0045205,30,2,Medium,66,Basic,Monthly,Yes,Promo_Code,Mobile,6,50.6,0.58,0,0,0
USER_0111590,40,2,Low,3,Premium,Monthly,Yes,Social_Ads,Smart TV,7,76.5,1.0,0,1,0
USER_0147376,41,1,Medium,7,Basic,Monthly,No,Social_Ads,Web,4,42.1,0.65,0,0,0
USER_0153016,38,5,Low,11,Basic,Monthly,Yes,Social_Ads,Console,1,91.3,0.13,1,0,0
USER_0068312,20,2,Medium,61,Standard,Monthly,Yes,Organic,Web,4,45.0,0.67,0,1,0
USER_0022689,19,2,High,23,Basic,Monthly,Yes,Referral,Smart TV,0,34.7,0.59,0,1,0
USER_0080763,19,1,Medium,52,Basic,Annual,Yes,Referral,Mobile,13,17.3,0.57,0,0,0
USER_0071887,42,1,High,72,Standard,Annual,Yes,Promo_Code,Mobile,4,37.1,0.36,0,0,0
USER_0029474,18,4,High,34,Standard,Monthly,Yes,Organic,Mobile,0,79.5,0.58,0,0,0
USER_0131380,31,1,Medium,10,Standard,Monthly,No,Organic,Smart TV,2,67.8,0.3,0,0,0
USER_0034611,23,1,Low,61,Basic,Monthly,Yes,Organic,Smart TV,6,45.3,0.46,1,0,0
USER_0071649,20,2,Low,44,Basic,Annual,Yes,Organic,Smart TV,8,65.1,0.34,0,0,0
USER_0085619,24,2,High,78,Basic,Annual,Yes,Organic,Smart TV,3,60.5,0.84,0,0,0
USER_0119901,29,3,High,1,Premium,Monthly,Yes,Organic,Smart TV,0,87.9,0.44,0,2,0
USER_0094626,36,1,Low,37,Basic,Monthly,Yes,Promo_Code,Mobile,13,8.2,0.35,0,1,0
USER_0131222,56,2,Low,2,Basic,Monthly,Yes,Promo_Code,Smart TV,8,77.6,0.57,0,3,0
USER_0135649,21,5,Medium,6,Basic,Monthly,Yes,Social_Ads,Smart TV,0,104.8,0.44,0,0,0
USER_0020457,48,1,Medium,70,Basic,Annual,Yes,Promo_Code,Smart TV,4,47.1,0.72,0,0,0
USER_0015850,33,3,High,40,Basic,Monthly,Yes,Organic,Mobile,0,58.5,0.97,0,0,0
USER_0114258,33,3,Low,1,Basic,Annual,Yes,Organic,Smart TV,7,67.3,0.63,0,0,0
USER_0131647,29,5,Low,5,Standard,Monthly,Yes,Organic,Mobile,7,75.9,0.56,0,0,0
USER_0143542,18,3,Low,1,Standard,Monthly,Yes,Organic,Smart TV,0,74.5,0.59,0,0,0
USER_0109797,41,4,Medium,5,Basic,Monthly,Yes,Organic,Smart TV,20,83.3,0.29,0,1,0
USER_0123413,18,2,Low,6,Premium,Monthly,Yes,Social_Ads,Web,0,59.9,0.52,2,1,0
USER_0023426,50,6,Medium,64,Premium,Monthly,No,Organic,Smart TV,8,104.2,0.73,0,0,0
USER_0118679,35,4,Medium,1,Premium,Monthly,Yes,Organic,Mobile,7,57.0,0.27,0,0,0
USER_0156068,40,2,Low,11,Basic,Monthly,No,Organic,Smart TV,6,31.1,0.59,0,0,0
USER_0115053,61,1,Medium,2,Premium,Monthly,Yes,Social_Ads,Mobile,8,32.6,0.55,0,1,0
USER_0021149,46,2,Medium,29,Standard,Annual,Yes,Promo_Code,Smart TV,20,62.4,0.45,0,0,0
USER_0033314,45,6,High,64,Basic,Annual,No,Referral,Smart TV,18,126.5,0.36,0,0,0
USER_0102347,26,1,Medium,10,Premium,Monthly,No,Organic,Smart TV,9,26.7,0.42,0,0,0
USER_0008097,26,4,High,51,Basic,Monthly,No,Social_Ads,Mobile,3,76.4,0.63,0,0,0
USER_0144439,43,2,Medium,7,Basic,Monthly,Yes,Social_Ads,Mobile,31,37.4,0.59,0,0,0
USER_0051790,18,4,Low,15,Basic,Monthly,Yes,Social_Ads,Console,7,60.0,0.49,0,0,0
USER_0020977,18,2,Medium,65,Basic,Monthly,Yes,Promo_Code,Mobile,12,10.3,0.74,0,1,0
USER_0078193,40,1,Medium,75,Standard,Monthly,Yes,Social_Ads,Console,7,16.0,0.89,0,0,0
USER_0101541,29,5,Medium,3,Premium,Monthly,No,Social_Ads,Mobile,19,53.7,0.55,1,0,0
USER_0101439,51,2,Medium,4,Standard,Monthly,Yes,Referral,Console,4,37.9,0.41,0,0,0
USER_0129661,18,5,Medium,11,Premium,Monthly,No,Organic,Smart TV,1,67.7,0.45,0,1,0
USER_0114134,40,1,High,4,Standard,Monthly,No,Organic,Mobile,3,21.6,0.55,0,0,0
USER_0041152,34,5,Medium,47,Premium,Annual,Yes,Promo_Code,Console,3,85.2,0.68,0,0,0
USER_0133568,24,6,Low,1,Standard,Monthly,Yes,Promo_Code,Mobile,7,86.8,0.96,1,2,0
USER_0118739,60,1,High,8,Standard,Monthly,Yes,Social_Ads,Mobile,4,66.5,0.12,0,0,0
USER_0056515,35,2,High,22,Premium,Monthly,Yes,Organic,Smart TV,0,71.7,0.59,0,0,0
USER_0114201,33,2,Medium,10,Standard,Monthly,Yes,Organic,Mobile,4,33.9,0.4,0,1,0
USER_0113855,24,1,Low,9,Premium,Monthly,No,Social_Ads,Smart TV,2,29.9,0.52,0,0,0
USER_0125417,21,4,Medium,2,Basic,Monthly,Yes,Organic,Mobile,0,17.1,0.59,0,1,0
USER_0068048,39,2,Medium,75,Standard,Monthly,Yes,Promo_Code,Smart TV,0,89.8,0.3,0,1,0
USER_0135271,30,6,Low,2,Premium,Monthly,No,Promo_Code,Smart TV,9,100.4,0.52,0,0,0
USER_0100048,40,1,Low,8,Basic,Monthly,No,Organic,Mobile,6,54.7,0.37,0,0,0
USER_0142266,48,3,Medium,10,Basic,Monthly,Yes,Referral,Mobile,15,34.1,0.44,0,0,0
USER_0155045,18,1,Medium,2,Premium,Monthly,No,Organic,Smart TV,6,32.8,0.51,0,0,0
USER_0148647,37,1,High,11,Standard,Monthly,Yes,Organic,Mobile,14,40.2,0.79,0,0,0
USER_0005382,19,2,Medium,62,Basic,Monthly,Yes,Organic,Mobile,16,61.2,0.75,0,0,0
USER_0084251,39,5,Low,45,Premium,Monthly,Yes,Social_Ads,Smart TV,8,97.4,0.55,0,0,0
USER_0090572,31,5,High,83,Standard,Monthly,Yes,Organic,Smart TV,9,85.9,0.77,0,0,0
USER_0032274,29,2,Medium,46,Premium,Monthly,Yes,Social_Ads,Smart TV,15,78.8,0.39,0,0,0
USER_0150952,47,1,Low,2,Standard,Monthly,No,Promo_Code,Smart TV,2,36.6,0.41,0,1,0
USER_0007127,18,1,Medium,81,Standard,Monthly,Yes,Organic,Console,0,7.9,0.35,0,0,0
USER_0048832,23,2,Medium,30,Premium,Monthly,Yes,Referral,Smart TV,3,73.4,0.69,0,0,0
USER_0118848,35,1,High,8,Standard,Monthly,Yes,Organic,Mobile,7,36.0,0.42,0,0,0
USER_0105759,43,4,Medium,7,Basic,Monthly,Yes,Social_Ads,Console,2,81.2,0.39,1,0,0
USER_0024901,30,6,High,23,Standard,Monthly,No,Referral,Smart TV,6,95.9,0.35,0,0,0
USER_0078320,22,2,Medium,51,Standard,Monthly,Yes,Social_Ads,Mobile,9,39.4,0.76,0,0,0
USER_0002661,32,1,Low,63,Premium,Annual,Yes,Promo_Code,Smart TV,11,33.9,0.82,0,0,0
USER_0056200,41,6,Medium,41,Standard,Annual,Yes,Social_Ads,Smart TV,7,103.6,0.45,0,1,0
USER_0083758,44,3,Low,19,Standard,Annual,Yes,Social_Ads,Smart TV,11,68.7,0.65,0,0,0
USER_0095408,32,1,Medium,29,Standard,Annual,No,Organic,Mobile,16,31.4,0.74,0,0,0
USER_0113727,56,5,Low,8,Basic,Monthly,No,Organic,Mobile,9,65.5,0.43,0,0,0
USER_0127954,32,1,Medium,6,Premium,Monthly,Yes,Organic,Smart TV,1,54.3,0.31,0,0,0
