customer_id,user_age,household_size,income_bracket,tenure_months,subscription_tier,billing_cycle,auto_renew_enabled,customer_acquisition_channel,primary_device,days_since_last_login,avg_watch_time_hours,content_completion_rate,payment_failures,support_tickets,support_resolution_time_days,churn
USER_0000071,34,1,Medium,66,Basic,Monthly,Yes,Social_Ads,Smart TV,2,63.3,0.55,0,1,0,0
USER_0000072,58,4,Medium,47,Basic,Monthly,No,Promo_Code,Smart TV,0,84.7,0.78,1,0,0,0
USER_0000073,29,2,High,5,Basic,Monthly,Yes,Social_Ads,Mobile,5,42.6,0.7,0,1,0,1
USER_0000074,18,4,Medium,42,Premium,Monthly,Yes,Promo_Code,Console,3,59.4,0.75,0,0,0,0
USER_0000075,60,2,Low,1,Standard,Monthly,No,Promo_Code,Mobile,0,25.8,0.88,2,2,0,1
USER_0000076,35,2,Medium,64,Standard,Annual,Yes,Social_Ads,Mobile,19,65.7,0.56,0,0,0,1
USER_0000077,41,2,Low,70,Basic,Monthly,No,Organic,Smart TV,1,52.2,0.47,1,0,0,1
USER_0000078,39,2,High,39,Standard,Monthly,Yes,Organic,Console,1,26.6,0.91,1,0,0,1
USER_0000079,44,3,High,70,Basic,Monthly,Yes,Social_Ads,Web,17,67.7,0.82,0,0,0,0
USER_0000080,23,1,High,32,Standard,Monthly,Yes,Organic,Smart TV,50,57.6,0.4,0,0,0,1
USER_0000081,38,3,Medium,38,Standard,Annual,Yes,Social_Ads,Mobile,8,59.4,0.08,0,0,0,1
USER_0000082,33,1,High,38,Standard,Monthly,Yes,Organic,Console,8,14.0,0.76,0,0,0,0
USER_0000083,39,1,High,31,Standard,Monthly,Yes,Social_Ads,Web,1,31.5,0.59,0,0,0,1
USER_0000084,35,4,High,55,Basic,Annual,Yes,Organic,Console,13,43.8,0.41,0,0,0,0
USER_0000085,45,4,Medium,34,Premium,Monthly,Yes,Organic,Mobile,34,77.7,0.7,0,0,0,1
USER_0000086,29,3,Low,6,Basic,Monthly,Yes,Social_Ads,Mobile,1,23.4,0.84,0,0,0,1
USER_0000087,28,1,Low,63,Basic,Monthly,Yes,Social_Ads,Smart TV,12,58.0,0.28,0,0,0,1
USER_0000088,19,3,Low,43,Premium,Monthly,No,Social_Ads,Mobile,0,49.1,0.72,0,0,0,0
USER_0000089,49,2,Low,60,Standard,Monthly,Yes,Promo_Code,Mobile,4,49.9,0.73,0,0,0,1
USER_0000090,44,2,High,26,Premium,Annual,Yes,Promo_Code,Smart TV,0,64.2,0.5,0,0,0,0
USER_0000091,28,4,Medium,22,Basic,Monthly,Yes,Social_Ads,Smart TV,3,63.7,0.65,0,0,0,0
USER_0000092,41,1,Medium,40,Premium,Monthly,Yes,Organic,Web,1,35.7,0.25,0,0,0,0
USER_0000093,29,2,Low,8,Premium,Annual,Yes,Social_Ads,Mobile,0,23.5,0.22,0,1,0,0
USER_0000094,33,2,Medium,62,Standard,Monthly,Yes,Promo_Code,Smart TV,9,65.7,0.27,1,0,0,1
USER_0000095,37,2,High,13,Basic,Monthly,No,Organic,Smart TV,4,37.5,0.35,0,0,0,1
USER_0000096,38,3,Medium,43,Basic,Annual,No,Organic,Mobile,2,45.4,0.49,0,0,0,1
USER_0000097,30,1,Low,38,Standard,Monthly,No,Organic,Mobile,1,50.5,0.71,0,0,0,0
USER_0000098,42,6,Medium,60,Basic,Monthly,Yes,Social_Ads,Smart TV,4,144.8,0.71,0,0,0,0
USER_0000099,32,3,High,3,Standard,Monthly,Yes,Promo_Code,Mobile,0,55.3,0.33,1,0,0,1
USER_0000100,44,1,Medium,70,Basic,Annual,Yes,Social_Ads,Smart TV,8,26.4,0.33,1,0,0,1
USER_0000101,27,4,High,55,Basic,Monthly,Yes,Social_Ads,Smart TV,0,79.6,0.96,0,1,0,0
USER_0000102,28,2,High,58,Basic,Monthly,Yes,Social_Ads,Smart TV,4,69.3,0.71,0,0,0,0
USER_0000103,26,3,Medium,52,Standard,Monthly,No,Organic,Smart TV,3,74.9,0.51,0,0,0,0
USER_0000104,20,4,High,17,Standard,Annual,Yes,Organic,Smart TV,6,76.2,0.56,0,1,0,0
USER_0000105,40,4,Medium,53,Basic,Annual,Yes,Social_Ads,Web,21,72.8,0.59,0,0,0,0
USER_0000106,55,6,Low,40,Standard,Annual,Yes,Referral,Smart TV,9,103.5,0.49,0,0,0,0
USER_0000107,31,2,Medium,6,Standard,Monthly,Yes,Social_Ads,Smart TV,7,42.1,0.44,0,1,0,1
USER_0000108,20,6,Medium,42,Standard,Monthly,No,Promo_Code,Smart TV,12,106.3,0.95,0,0,0,0
USER_0000109,32,4,Low,67,Premium,Monthly,Yes,Organic,Mobile,7,64.9,0.9,0,0,0,0
USER_0000110,37,1,Medium,28,Premium,Monthly,Yes,Organic,Mobile,8,29.4,0.69,0,0,0,1
USER_0000111,27,2,Medium,38,Basic,Monthly,Yes,Social_Ads,Mobile,0,39.1,0.66,0,0,0,0
USER_0000112,34,1,Medium,63,Standard,Monthly,Yes,Promo_Code,Smart TV,0,22.9,0.3,0,0,0,0
USER_0000113,18,1,Low,4,Basic,Monthly,No,Organic,Web,3,33.0,0.55,0,0,0,1
USER_0000114,35,5,Low,2,Standard,Annual,Yes,Organic,Mobile,7,78.5,0.59,1,2,0,1
USER_0000115,41,5,High,31,Standard,Monthly,Yes,Promo_Code,Mobile,2,69.3,0.34,0,0,0,1
USER_0000116,42,2,Low,50,Premium,Monthly,Yes,Organic,Mobile,8,59.7,0.73,1,0,0,0
USER_0000117,34,1,High,8,Standard,Monthly,Yes,Organic,Smart TV,2,56.1,0.48,0,0,0,1
USER_0000118,49,2,Medium,35,Basic,Monthly,Yes,Social_Ads,Console,6,59.9,0.76,0,0,0,1
USER_0000119,31,2,Medium,43,Standard,Monthly,Yes,Promo_Code,Smart TV,12,63.9,0.69,0,1,0,0
USER_0000120,37,1,Low,12,Premium,Annual,Yes,Promo_Code,Mobile,9,36.9,0.51,0,0,0,0
USER_0000121,18,3,Low,10,Basic,Monthly,No,Promo_Code,Console,18,32.9,0.29,0,0,0,1
USER_0000122,49,4,Low,35,Basic,Monthly,Yes,Social_Ads,Smart TV,0,58.2,0.16,0,1,0,0
USER_0000123,43,3,Medium,12,Standard,Monthly,Yes,Social_Ads,Mobile,6,50.2,0.81,0,0,0,0
USER_0000124,24,2,Low,6,Standard,Monthly,Yes,Promo_Code,Smart TV,8,67.1,0.44,0,0,0,0
USER_0000125,49,2,Medium,44,Standard,Monthly,Yes,Organic,Mobile,8,49.6,0.89,0,0,0,0
USER_0000126,21,2,High,50,Premium,Monthly,Yes,Organic,Mobile,0,38.9,0.77,1,0,0,0
USER_0000127,61,4,Medium,69,Premium,Annual,Yes,Social_Ads,Smart TV,1,70.9,0.59,1,0,0,0
USER_0000128,43,6,Low,64,Basic,Annual,Yes,Referral,Mobile,3,75.3,0.74,0,0,0,0
USER_0000129,31,1,Low,64,Premium,Monthly,No,Social_Ads,Smart TV,2,44.7,0.66,0,0,0,1
USER_0000130,36,4,Medium,63,Premium,Monthly,Yes,Promo_Code,Smart TV,0,56.2,0.62,0,0,0,0
USER_0000131,48,3,Medium,40,Premium,Monthly,Yes,Organic,Mobile,2,46.8,0.54,0,0,0,0
USER_0000132,46,2,Medium,57,Standard,Annual,Yes,Social_Ads,Console,8,68.5,0.74,0,0,0,0
USER_0000133,25,2,High,37,Standard,Monthly,No,Social_Ads,Smart TV,8,65.8,0.54,0,0,0,0
USER_0000134,29,2,Low,41,Premium,Monthly,No,Organic,Mobile,0,45.5,0.79,0,0,0,0
USER_0000135,46,1,Medium,22,Premium,Monthly,Yes,Social_Ads,Console,11,28.8,0.4,0,1,0,0
USER_0000136,22,4,Medium,31,Basic,Monthly,Yes,Social_Ads,Smart TV,3,76.4,0.52,0,0,0,0
USER_0000137,45,1,Medium,58,Basic,Monthly,Yes,Organic,Smart TV,19,19.3,0.8,0,0,0,0
USER_0000138,30,4,Medium,61,Basic,Annual,Yes,Social_Ads,Smart TV,16,79.9,0.57,0,0,0,0
USER_0000139,65,1,Low,68,Standard,Monthly,Yes,Social_Ads,Mobile,1,25.9,0.8,1,1,0,1
USER_0000140,37,2,Medium,59,Standard,Monthly,Yes,Organic,Mobile,7,33.9,0.66,0,0,0,0
USER_0000141,35,4,Low,37,Basic,Monthly,Yes,Social_Ads,Smart TV,4,112.0,0.45,0,1,0,0
USER_0000142,66,1,Medium,9,Basic,Monthly,Yes,Social_Ads,Mobile,12,28.9,0.63,0,2,0,0
USER_0000143,18,2,Medium,20,Premium,Monthly,Yes,Social_Ads,Console,0,45.7,0.8,0,0,0,0
USER_0000144,21,4,High,24,Standard,Monthly,Yes,Social_Ads,Console,0,45.7,0.47,0,0,0,0
USER_0000145,57,3,Low,70,Basic,Annual,Yes,Social_Ads,Smart TV,5,66.8,0.63,0,0,0,0
USER_0000146,36,6,Medium,22,Basic,Monthly,Yes,Referral,Smart TV,13,108.8,0.99,0,0,0,0
USER_0000147,42,4,Medium,9,Standard,Annual,Yes,Social_Ads,Smart TV,6,69.4,0.68,0,0,0,1
USER_0000148,20,3,Low,71,Standard,Annual,Yes,Organic,Smart TV,7,61.6,0.85,0,0,0,0
USER_0000149,22,4,Low,52,Standard,Monthly,Yes,Organic,Mobile,13,62.1,0.46,1,0,0,0
USER_0000150,55,2,Medium,68,Basic,Monthly,No,Promo_Code,Console,8,37.3,0.26,0,0,0,1
USER_0000151,25,2,High,14,Standard,Monthly,No,Organic,Mobile,0,38.1,0.47,1,0,0,0
USER_0000152,57,3,Medium,20,Premium,Annual,Yes,Social_Ads,Smart TV,3,89.6,0.58,0,0,0,0
USER_0000153,33,2,Medium,38,Standard,Annual,Yes,Promo_Code,Smart TV,2,54.5,0.75,0,0,0,0
USER_0000154,58,3,Medium,7,Standard,Monthly,Yes,Organic,Smart TV,8,78.7,0.67,1,1,0,0
USER_0000155,32,2,Low,48,Premium,Monthly,Yes,Social_Ads,Mobile,4,44.4,0.41,0,0,0,0
USER_0000156,18,2,Low,22,Basic,Monthly,No,Organic,Smart TV,11,57.7,0.71,0,0,0,0
USER_0000157,34,1,Medium,39,Basic,Monthly,Yes,Organic,Smart TV,11,68.6,0.46,1,0,0,1
USER_0000158,18,2,Low,65,Basic,Monthly,Yes,Organic,Smart TV,7,57.7,0.46,0,0,0,0
USER_0000159,18,2,Medium,70,Basic,Monthly,Yes,Promo_Code,Mobile,0,43.4,0.7,0,0,0,1
USER_0000160,42,5,High,51,Standard,Monthly,Yes,Referral,Mobile,7,58.2,0.43,0,1,0,0
USER_0000161,24,3,High,17,Basic,Monthly,Yes,Referral,Smart TV,0,48.8,0.63,0,0,0,0
USER_0000162,32,6,Medium,21,Premium,Annual,No,Organic,Mobile,0,93.9,0.56,0,0,0,0
USER_0000163,35,3,High,41,Standard,Monthly,Yes,Organic,Mobile,4,67.5,0.68,0,0,0,1
USER_0000164,26,1,Low,52,Standard,Monthly,No,Referral,Web,9,28.0,0.83,0,1,0,0
USER_0000165,19,1,Low,32,Standard,Monthly,No,Organic,Smart TV,10,62.0,1.0,0,0,0,1
USER_0000166,38,1,High,24,Standard,Monthly,Yes,Organic,Mobile,20,37.9,0.66,0,0,0,0
USER_0000167,22,3,Low,69,Standard,Monthly,Yes,Promo_Code,Mobile,2,51.2,0.6,0,0,0,0
USER_0000168,18,2,Low,47,Premium,Monthly,Yes,Social_Ads,Smart TV,1,40.8,0.92,0,0,0,0
USER_0000169,26,1,Low,70,Basic,Monthly,Yes,Organic,Smart TV,2,61.6,0.64,0,0,0,1
USER_0000170,18,4,High,8,Basic,Monthly,Yes,Referral,Console,1,71.6,0.57,0,0,0,0
USER_0000171,48,4,Medium,26,Standard,Monthly,No,Social_Ads,Smart TV,5,62.8,0.6,1,0,0,1
USER_0000172,36,4,Low,49,Premium,Monthly,Yes,Organic,Smart TV,14,79.1,0.41,0,0,0,0
USER_0000173,38,3,Medium,57,Basic,Annual,Yes,Promo_Code,Smart TV,4,20.5,0.31,0,0,0,0
USER_0000174,32,2,High,3,Premium,Annual,Yes,Organic,Mobile,5,37.0,0.64,0,0,0,1
USER_0000175,19,4,Low,5,Basic,Monthly,No,Referral,Smart TV,2,65.6,1.0,0,0,0,0
USER_0000176,36,2,Low,17,Standard,Monthly,Yes,Promo_Code,Smart TV,9,61.9,1.0,0,0,0,0
USER_0000177,45,3,Medium,37,Standard,Monthly,Yes,Promo_Code,Mobile,4,76.5,0.99,0,0,0,0
USER_0000178,18,1,High,23,Standard,Monthly,Yes,Organic,Smart TV,13,65.9,0.87,0,0,0,1
USER_0000179,45,3,Medium,38,Standard,Monthly,No,Social_Ads,Mobile,8,20.3,0.43,0,0,0,0
USER_0000180,27,3,Medium,53,Basic,Monthly,Yes,Social_Ads,Web,10,75.5,0.63,0,1,0,0
USER_0000181,18,1,Low,27,Basic,Monthly,Yes,Referral,Mobile,1,24.3,0.54,0,0,0,0
USER_0000182,40,6,Medium,44,Premium,Monthly,Yes,Promo_Code,Mobile,1,63.8,0.56,0,0,0,0
USER_0000183,28,2,Low,22,Standard,Monthly,No,Organic,Smart TV,7,74.4,0.64,0,0,0,0
USER_0000184,55,4,Low,33,Standard,Monthly,Yes,Social_Ads,Mobile,3,65.9,0.64,0,0,0,1
USER_0000185,24,2,Medium,42,Basic,Monthly,Yes,Referral,Console,0,57.8,0.56,0,0,0,0
USER_0000186,56,2,Low,67,Basic,Monthly,Yes,Social_Ads,Web,6,30.8,0.77,1,0,0,0
USER_0000187,50,4,Low,16,Standard,Monthly,Yes,Organic,Mobile,16,56.4,0.49,0,1,0,1
USER_0000188,38,2,Low,2,Basic,Monthly,Yes,Organic,Smart TV,0,47.9,0.66,0,1,0,0
USER_0000189,35,1,Medium,61,Standard,Monthly,Yes,Referral,Smart TV,36,44.5,0.3,0,0,0,0
USER_0000190,29,4,Low,21,Basic,Monthly,Yes,Social_Ads,Web,6,65.7,0.82,0,0,0,0
USER_0000191,30,1,Low,50,Standard,Monthly,Yes,Organic,Smart TV,2,35.9,0.37,0,0,0,0
USER_0000192,50,1,High,46,Basic,Monthly,Yes,Organic,Smart TV,7,50.4,0.22,0,0,0,1
USER_0000193,33,1,Low,37,Basic,Monthly,Yes,Social_Ads,Mobile,53,51.8,0.57,0,0,0,1
USER_0000194,42,2,High,27,Standard,Annual,Yes,Organic,Smart TV,2,57.0,0.65,0,1,0,0
USER_0000195,18,4,Medium,70,Basic,Monthly,Yes,Organic,Web,0,67.9,0.4,0,0,0,0
USER_0000196,32,3,Medium,44,Basic,Monthly,Yes,Referral,Smart TV,24,46.0,0.33,0,0,0,1
USER_0000197,32,3,High,38,Basic,Monthly,No,Referral,Smart TV,1,98.5,0.26,0,0,0,0
USER_0000198,18,5,Medium,35,Premium,Monthly,Yes,Organic,Smart TV,1,94.8,0.25,0,0,0,1
USER_0000199,21,2,Medium,56,Basic,Monthly,No,Social_Ads,Console,9,60.3,0.71,0,0,0,0
USER_0000200,41,2,Medium,13,Basic,Annual,Yes,Promo_Code,Smart TV,1,48.8,0.24,0,1,0,0
USER_0000201,26,3,High,27,Basic,Monthly,Yes,Organic,Smart TV,4,77.0,0.32,0,0,0,0
USER_0000202,36,2,Low,11,Basic,Monthly,No,Organic,Smart TV,6,86.3,0.69,0,0,0,1
USER_0000203,18,6,Medium,18,Standard,Monthly,Yes,Social_Ads,Smart TV,4,88.6,0.45,2,0,0,0
USER_0000204,32,2,Medium,56,Premium,Annual,Yes,Organic,Mobile,5,10.6,0.74,0,0,0,0
USER_0000205,36,4,Low,58,Basic,Annual,Yes,Promo_Code,Mobile,0,38.2,0.45,0,0,0,0
USER_0000206,24,5,Low,15,Standard,Monthly,Yes,Social_Ads,Smart TV,0,101.0,0.37,0,0,0,0
USER_0000207,36,4,Low,42,Basic,Annual,Yes,Social_Ads,Smart TV,9,98.1,0.7,0,0,0,0
USER_0000208,18,2,Medium,58,Basic,Annual,Yes,Organic,Console,21,41.8,0.89,0,0,0,0
USER_0000209,47,1,Medium,66,Premium,Monthly,No,Promo_Code,Mobile,1,22.9,0.44,0,1,0,1
USER_0000210,28,2,Low,50,Basic,Annual,No,Organic,Mobile,30,29.0,0.24,0,0,0,1
USER_0000211,18,2,Medium,53,Standard,Annual,No,Social_Ads,Mobile,1,54.5,0.47,0,0,0,0
USER_0000212,55,2,Low,45,Standard,Monthly,No,Social_Ads,Mobile,2,45.7,0.73,0,0,0,1
USER_0000213,41,1,Medium,43,Premium,Annual,Yes,Organic,Mobile,29,15.0,0.66,0,1,0,0
USER_0000214,44,2,Medium,54,Standard,Monthly,No,Organic,Console,4,34.8,0.36,0,2,0,1
USER_0000215,30,5,High,15,Basic,Annual,Yes,Social_Ads,Mobile,15,73.2,0.39,0,2,0,0
USER_0000216,38,1,Medium,23,Premium,Monthly,Yes,Social_Ads,Web,22,34.4,0.23,0,0,0,0
USER_0000217,47,3,High,28,Basic,Monthly,Yes,Social_Ads,Smart TV,5,69.2,0.5,0,0,0,0
USER_0000218,31,1,Medium,30,Basic,Annual,Yes,Social_Ads,Console,12,42.1,0.69,0,0,0,1
USER_0000219,42,1,Low,8,Basic,Monthly,Yes,Promo_Code,Mobile,0,42.7,0.46,0,0,0,0
USER_0000220,58,1,High,62,Basic,Monthly,No,Referral,Smart TV,0,48.4,0.68,0,1,0,0
USER_0000221,31,1,Medium,34,Basic,Annual,Yes,Organic,Web,0,19.9,0.73,0,0,0,0
USER_0000222,42,4,High,14,Premium,Annual,Yes,Social_Ads,Smart TV,3,67.5,0.47,0,0,0,0
USER_0000223,22,2,High,53,Standard,Annual,No,Promo_Code,Smart TV,4,50.1,0.4,0,0,0,1
USER_0000224,30,4,Low,34,Standard,Annual,Yes,Promo_Code,Smart TV,2,65.6,0.75,0,0,0,0
USER_0000225,45,6,Low,52,Standard,Monthly,Yes,Referral,Console,19,77.3,0.54,0,1,0,0
USER_0000226,27,1,Low,58,Standard,Annual,Yes,Organic,Mobile,1,3.4,0.81,0,0,0,1
USER_0000227,21,2,Medium,68,Premium,Monthly,Yes,Organic,Smart TV,7,49.1,0.87,0,0,0,0
USER_0000228,36,2,High,52,Standard,Monthly,Yes,Organic,Smart TV,11,34.4,0.7,1,0,0,0
USER_0000229,51,1,Medium,15,Standard,Annual,Yes,Social_Ads,Smart TV,5,69.1,0.26,0,0,0,0
USER_0000230,36,1,Low,40,Standard,Annual,Yes,Organic,Mobile,7,20.3,0.56,0,0,0,0
USER_0000231,31,1,Low,42,Standard,Monthly,Yes,Referral,Web,9,22.8,0.99,0,0,0,0
USER_0000232,57,1,Medium,62,Standard,Monthly,Yes,Organic,Web,1,4.2,0.48,0,0,0,0
USER_0000233,42,4,Low,16,Premium,Monthly,No,Organic,Mobile,2,72.1,0.42,1,0,0,1
USER_0000234,48,3,Medium,49,Basic,Monthly,Yes,Social_Ads,Smart TV,1,79.7,0.46,0,1,0,0
USER_0000235,22,2,Medium,46,Standard,Monthly,Yes,Referral,Smart TV,0,69.1,0.7,0,0,0,1
USER_0000236,60,6,Medium,58,Basic,Monthly,Yes,Promo_Code,Mobile,13,60.8,0.24,0,0,0,0
USER_0000237,47,3,Medium,46,Premium,Monthly,No,Referral,Web,2,38.6,0.39,0,0,0,0
USER_0000238,33,1,Medium,36,Basic,Monthly,Yes,Organic,Mobile,28,53.3,0.56,0,0,0,0
USER_0000239,39,4,High,3,Premium,Monthly,Yes,Organic,Mobile,22,66.2,0.78,0,0,0,1
USER_0000240,38,2,Medium,43,Basic,Monthly,Yes,Organic,Smart TV,9,78.0,0.66,0,1,0,0
